job_title,company_name,location,tags,exp
Senior AI/LLM Engineer,Tafeel -,"Nasr City, Cairo, Egypt","Full Time,On-site",· 4 - 7 Yrs of Exp
Senior AI/LLM Engineer,Tafeel -,"Nasr City, Cairo, Egypt","Full Time,On-site",· 4 - 7 Yrs of Exp
AI & Data Science Engineer,Raya Distribution -,"Cairo, Egypt","Full Time,On-site",· 1+ Yrs of Exp
AI & Data Science Engineer,Raya Distribution -,"Cairo, Egypt","Full Time,On-site",· 1+ Yrs of Exp
AI Engineer,Confidential -,"Cairo, Egypt","Full Time,Hybrid",· 3 - 5 Yrs of Exp
AI Engineer,Confidential -,"Cairo, Egypt","Full Time,Hybrid",· 3 - 5 Yrs of Exp
AI Engineer & Project Manager,NX CREATIVE -,"Paris, France","Freelance / Project,Remote",· 3 - 7 Yrs of Exp
AI Engineer & Project Manager,NX CREATIVE -,"Paris, France","Freelance / Project,Remote",· 3 - 7 Yrs of Exp
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","Full Time,Hybrid",· 0 - 3 Yrs of Exp
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","Full Time,Hybrid",· 0 - 3 Yrs of Exp
AI Engineer – LLM & Fine-Tuning Specialist,Advanced control -,"6th of October, Giza, Egypt","Full Time,On-site",· 3 - 7 Yrs of Exp
AI Engineer – LLM & Fine-Tuning Specialist,Advanced control -,"6th of October, Giza, Egypt","Full Time,On-site",· 3 - 7 Yrs of Exp
IT & AI Engineer,Confidential -,"New Cairo, Cairo, Egypt","Full Time,On-site",· 3 - 10 Yrs of Exp
IT & AI Engineer,Confidential -,"New Cairo, Cairo, Egypt","Full Time,On-site",· 3 - 10 Yrs of Exp
AI Knowledge Systems & RAG Engineering Intern,Integrated Knowledge Dynamics -,"Nasr City, Cairo, Egypt","Internship,Hybrid",Null
AI Knowledge Systems & RAG Engineering Intern,Integrated Knowledge Dynamics -,"Nasr City, Cairo, Egypt","Internship,Hybrid",Null
AI Instructor,Electro Pi -,"Maadi, Cairo, Egypt","Freelance / Project,On-site",· 3+ Yrs of Exp
AI Instructor,Electro Pi -,"Maadi, Cairo, Egypt","Freelance / Project,On-site",· 3+ Yrs of Exp
Business AI Coordinator,Roaya -,"Maadi, Cairo, Egypt","Full Time,On-site",· 0 - 2 Yrs of Exp
Business AI Coordinator,Roaya -,"Maadi, Cairo, Egypt","Full Time,On-site",· 0 - 2 Yrs of Exp
Senior AI Engineer – Computer Vision & 3D Visual Perception,Geopro -,"Nasr City, Cairo, Egypt","Part Time,Hybrid",· 0 - 3 Yrs of Exp
Senior AI Engineer – Computer Vision & 3D Visual Perception,Geopro -,"Nasr City, Cairo, Egypt","Part Time,Hybrid",· 0 - 3 Yrs of Exp
Software Engineer - Python,Agency -,"Cairo, Egypt","Full Time,Part Time,Shift Based,Remote",· 3 - 7 Yrs of Exp
Software Engineer - Python,Agency -,"Cairo, Egypt","Full Time,Part Time,Shift Based,Remote",· 3 - 7 Yrs of Exp
Prompt Engineer,AIContentfy -,"Maadi, Cairo, Egypt","Full Time,On-site",· 0 - 2 Yrs of Exp
Prompt Engineer,AIContentfy -,"Maadi, Cairo, Egypt","Full Time,On-site",· 0 - 2 Yrs of Exp
Data Engineer,Sana Commerce -,"Alexandria, Egypt","Full Time,Hybrid",· 8+ Yrs of Exp
Data Engineer,Sana Commerce -,"Alexandria, Egypt","Full Time,Hybrid",· 8+ Yrs of Exp
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 20 Yrs of Exp
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 20 Yrs of Exp
AI Developer,Genesis AI -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
AI Developer,Genesis AI -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
DevOps Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates","Full Time,Remote",· 2 - 4 Yrs of Exp
DevOps Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates","Full Time,Remote",· 2 - 4 Yrs of Exp
BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time,Hybrid",· 2+ Yrs of Exp
BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time,Hybrid",· 2+ Yrs of Exp
Full Stack Developer,EglobalSphere -,"Giza, Egypt","Full Time,Hybrid",· 2 - 5 Yrs of Exp
Full Stack Developer,EglobalSphere -,"Giza, Egypt","Full Time,Hybrid",· 2 - 5 Yrs of Exp
Architect / Interior Designer,Artova -,"Sheikh Zayed, Giza, Egypt","Full Time,On-site",· 2+ Yrs of Exp
Architect / Interior Designer,Artova -,"Sheikh Zayed, Giza, Egypt","Full Time,On-site",· 2+ Yrs of Exp
"Software Engineer (Backend, Quality-Focused)",Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 19 Yrs of Exp
"Software Engineer (Backend, Quality-Focused)",Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 19 Yrs of Exp
Junior Automation QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time,On-site",· 1+ Yrs of Exp
Junior Automation QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time,On-site",· 1+ Yrs of Exp
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
Frontend Engineer (Vue.js),Tototheo Global -,"Cairo, Egypt","Full Time,Remote",· 4 - 10 Yrs of Exp
Frontend Engineer (Vue.js),Tototheo Global -,"Cairo, Egypt","Full Time,Remote",· 4 - 10 Yrs of Exp
AI Business Partner – Project Management Services (PMS),WSP in the Middle East -,"Riyadh, Saudi Arabia",Full Time,Null
AI Business Partner – Project Management Services (PMS),WSP in the Middle East -,"Riyadh, Saudi Arabia",Full Time,Null
Senior AI Product Manager,HudHud Maps -,"Riyadh, Saudi Arabia",Full Time,Null
Senior AI Product Manager,HudHud Maps -,"Riyadh, Saudi Arabia",Full Time,Null
Engagement Manager – AI & Business Transformation,New Metrics -,"Riyadh, Saudi Arabia",Full Time,Null
Engagement Manager – AI & Business Transformation,New Metrics -,"Riyadh, Saudi Arabia",Full Time,Null
HR Business Lead | AI & Talent Innovation Startup,Aikho -,"Dubai, United Arab Emirates",Full Time,Null
HR Business Lead | AI & Talent Innovation Startup,Aikho -,"Dubai, United Arab Emirates",Full Time,Null
Senior Backend / Architect Engineer (.NET / Azure),Confidential -,"Cairo, Egypt","Full Time,Freelance / Project,Remote",· 5 - 15 Yrs of Exp
Senior Backend / Architect Engineer (.NET / Azure),Confidential -,"Cairo, Egypt","Full Time,Freelance / Project,Remote",· 5 - 15 Yrs of Exp
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 20 Yrs of Exp
Senior Full Stack Engineer,Confidential -,"Cairo, Egypt","Full Time,Remote",· 5 - 20 Yrs of Exp
AI Developer,Genesis AI -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
AI Developer,Genesis AI -,"Cairo, Egypt","Full Time,On-site",· 4+ Yrs of Exp
DevOps Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates","Full Time,Remote",· 2 - 4 Yrs of Exp
DevOps Engineer,ROVIN -,"Abu Dhabi, United Arab Emirates","Full Time,Remote",· 2 - 4 Yrs of Exp
BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time,Hybrid",· 2+ Yrs of Exp
BIM360 ACC Support Consultant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time,Hybrid",· 2+ Yrs of Exp
Full Stack Developer,EglobalSphere -,"Giza, Egypt","Full Time,Hybrid",· 2 - 5 Yrs of Exp
Full Stack Developer,EglobalSphere -,"Giza, Egypt","Full Time,Hybrid",· 2 - 5 Yrs of Exp
Software Alliance Ecosystem Manager,Canonical -,"Makkah, Saudi Arabia",Full Time,Null
Software Alliance Ecosystem Manager,Canonical -,"Makkah, Saudi Arabia",Full Time,Null
Enterprise Data Architect,Frameworks and Methodologies Businesses (FMB) -,"Riyadh, Saudi Arabia",Full Time,Null
